"Rk","Name","lg","ISOBIP","SLGBIP","G","PA","AB","H","X2B","X3B","HR","SB","BB","IBB","SO","BA","SLG","OBP","OPS","ISO","BABIP"
1,"佐藤輝明","Central",0.1330049261083744,0.458128078817734,73,314,283,79,21,3,13,5,27,3,69,0.2791519434628975,0.5123674911660777,0.34394904458598724,0.856316535752065,0.2332155477031802,0.3251231527093596
2,"塩見泰隆","Central",0.12903225806451613,0.5,68,299,265,80,16,4,11,17,28,0,69,0.3018867924528302,0.5169811320754717,0.3779264214046823,0.894907553480154,0.21509433962264152,0.3709677419354839
3,"山田哲人","Central",0.11309523809523808,0.39285714285714285,69,298,251,61,19,0,14,8,40,1,73,0.24302788844621515,0.4860557768924303,0.348993288590604,0.8350490654830343,0.24302788844621515,0.27976190476190477
4,"ウォーカー","Central",0.09248554913294799,0.4277456647398844,70,252,244,74,16,0,16,3,5,0,56,0.30327868852459017,0.5655737704918032,0.32142857142857145,0.8870023419203747,0.2622950819672131,0.3352601156069364
5,"阿部寿樹","Central",0.08888888888888885,0.4111111111111111,68,269,243,64,14,1,6,1,21,0,60,0.26337448559670784,0.40329218106995884,0.32342007434944237,0.7267122554194012,0.139917695473251,0.32222222222222224
6,"ポランコ","Central",0.08839779005524862,0.39779005524861877,74,275,253,66,14,1,10,2,20,0,63,0.2608695652173913,0.4426877470355731,0.31636363636363635,0.7590513833992094,0.18181818181818182,0.30939226519337015
7,"牧秀悟","Central",0.08333333333333337,0.36904761904761907,60,255,221,64,12,1,16,3,23,1,42,0.2895927601809955,0.5701357466063348,0.36470588235294116,0.934841628959276,0.2805429864253393,0.2857142857142857
8,"ビシエド","Central",0.08205128205128209,0.36923076923076925,63,253,233,63,16,0,7,1,17,0,31,0.2703862660944206,0.4291845493562232,0.32806324110671936,0.7572477904629425,0.15879828326180256,0.28717948717948716
9,"木下拓哉","Central",0.078125,0.3541666666666667,61,231,210,56,11,2,3,2,13,3,16,0.26666666666666666,0.38095238095238093,0.3111111111111111,0.692063492063492,0.11428571428571427,0.2760416666666667
10,"丸佳浩","Central",0.0776255707762557,0.3698630136986301,75,314,275,78,15,1,14,5,37,1,42,0.28363636363636363,0.49818181818181817,0.3706070287539936,0.8687888469358118,0.21454545454545454,0.2922374429223744
11,"西川龍馬","Central",0.07526881720430112,0.40860215053763443,55,246,228,67,8,3,5,2,15,3,39,0.29385964912280704,0.42105263157894735,0.33739837398373984,0.7584510055626872,0.1271929824561403,0.3333333333333333
12,"佐野恵太","Central",0.07246376811594202,0.40096618357487923,56,243,235,76,15,0,8,0,8,1,20,0.32340425531914896,0.48936170212765956,0.345679012345679,0.8350407144733385,0.1659574468085106,0.3285024154589372
13,"マクブルーム","Central",0.06989247311827956,0.3763440860215054,68,284,246,64,13,0,7,0,34,0,55,0.2601626016260163,0.3983739837398374,0.352112676056338,0.7504866597961755,0.1382113821138211,0.3064516129032258
14,"岡林勇希","Central",0.06986899563318777,0.34934497816593885,69,280,260,64,6,5,0,8,10,0,32,0.24615384615384617,0.3076923076923077,0.2757352941176471,0.5834276018099548,0.06153846153846154,0.2794759825327511
15,"長岡秀樹","Central",0.0678733031674208,0.34841628959276016,70,274,260,65,15,0,3,2,3,0,37,0.25,0.3423076923076923,0.2631578947368421,0.6054655870445345,0.09230769230769231,0.28054298642533937
16,"吉川尚輝","Central",0.06756756756756754,0.38738738738738737,65,280,250,74,9,3,3,11,19,0,25,0.296,0.392,0.3553113553113553,0.7473113553113553,0.09600000000000003,0.31981981981981983
17,"大山悠輔","Central",0.06703910614525138,0.33519553072625696,71,292,254,66,12,0,18,0,31,2,60,0.25984251968503935,0.5196850393700787,0.3436426116838488,0.8633276510539275,0.25984251968503935,0.2681564245810056
18,"坂倉将吾","Central",0.06521739130434784,0.4043478260869565,72,302,272,84,11,2,6,0,22,1,39,0.3088235294117647,0.43014705882352944,0.3675496688741722,0.7976967276977016,0.12132352941176472,0.3391304347826087
19,"村上宗隆","Central",0.06329113924050633,0.3924050632911392,70,300,244,77,10,0,25,8,53,10,61,0.3155737704918033,0.6639344262295082,0.44333333333333336,1.1072677595628415,0.34836065573770486,0.3291139240506329
20,"菊池涼介","Central",0.06113537117903928,0.3537117903930131,68,303,267,70,14,0,3,1,14,0,36,0.26217228464419473,0.34831460674157305,0.2978723404255319,0.6461869471671049,0.08614232209737832,0.2925764192139738
21,"中野拓夢","Central",0.053941908713692976,0.36929460580912865,73,320,296,79,11,1,3,14,8,0,53,0.2668918918918919,0.34121621621621623,0.2875816993464052,0.6287979155626214,0.07432432432432434,0.3153526970954357
22,"小園海斗","Central",0.05069124423963134,0.30414746543778803,68,274,254,57,5,3,2,1,12,1,38,0.22440944881889763,0.29133858267716534,0.25650557620817843,0.5478441588853438,0.06692913385826771,0.2534562211981567
23,"近本光司","Central",0.05058365758754868,0.40077821011673154,73,325,296,90,11,1,0,13,26,0,39,0.30405405405405406,0.34797297297297297,0.36419753086419754,0.7121705038371705,0.043918918918918914,0.35019455252918286
24,"岡本和真","Central",0.04975124378109452,0.2935323383084577,72,304,268,69,10,0,20,0,30,4,48,0.2574626865671642,0.5186567164179104,0.34210526315789475,0.8607619795758052,0.26119402985074625,0.24378109452736318
25,"オスナ","Central",0.047368421052631615,0.3105263157894737,66,254,242,57,7,1,7,0,10,2,47,0.23553719008264462,0.359504132231405,0.2637795275590551,0.6232836597904601,0.12396694214876036,0.2631578947368421
26,"糸原健斗","Central",0.04326923076923078,0.3125,67,254,234,58,7,1,2,1,14,0,25,0.24786324786324787,0.31196581196581197,0.2948207171314741,0.606786529097286,0.0641025641025641,0.2692307692307692
27,"大島洋平","Central",0.04093567251461988,0.391812865497076,49,219,201,61,5,1,1,1,13,3,29,0.3034825870646766,0.35323383084577115,0.3577981651376147,0.7110319959833858,0.04975124378109452,0.3508771929824561
